misc
"アクション名","アクションタイプ","類似業績マージ優先度","タイトル(日本語)","タイトル(英語)","著者(日本語)","著者(英語)","担当区分","概要(日本語)","概要(英語)","出版者・発行元(日本語)","出版者・発行元(英語)","出版年月","誌名(日本語)","誌名(英語)","巻","号","開始ページ","終了ページ","記述言語","査読の有無","招待の有無","掲載種別","国際・国内誌","国際共著","DOI","ISSN","eISSN","URL","URL2","主要な業績かどうか","公開の有無"
"insert","similar_merge","input_data","都市Wi-Fiアクセスポイントの3次元位置データベース自動構築とその活用","null","天野 辰哉,梶田 宗吾,山口 弘純,東野 輝夫,高井 峰生","null","[lead]","null","null","null","null","2018/03","情報処理学会 第80回全国大会","null","null","null","null","null","jpn","FALSE","null","summary_national_conference","null","null","null","null","null","null","null","FALSE","disclosed"
"insert","similar_merge","input_data","都市部における公衆Wi-Fiのキャパシティ評価のためのシナリオ構築","null","岩崎 博生,天野 辰哉,梶田 宗吾,山口 弘純,東野 輝夫,高井 峰生","null","null","null","null","null","null","2018/02","モバイルネットワークとアプリケーション(MoNA)研究会","null","null","null","null","null","jpn","FALSE","null","summary_national_conference","null","null","null","null","null","null","null","FALSE","disclosed"
"insert","similar_merge","input_data","Scenargieシミュレーションに基づく通信品質予測機能を用いた自律 Wi-Fi チャネル制御手法","null","梶田 宗吾,天野 辰哉,山口 弘純,東野 輝夫,高井 峰生","null","null","null","null","null","null","2017/10","Scenargie Workshop 2017","null","null","null","null","null","jpn","FALSE","null","summary_national_conference","null","null","null","null","null","null","null","FALSE","disclosed"
"insert","similar_merge","input_data","クラウドソーシングとScenargie電波伝搬シミュレーションに基づくWi-Fi電波強度推定システム","null","天野 辰哉,梶田 宗吾,山口 弘純,東野 輝夫,高井 峰生","null","[lead]","null","null","null","null","2017/10","Scenargie Workshop 2017","null","null","null","null","null","jpn","FALSE","null","summary_national_conference","null","null","null","null","null","null","null","FALSE","disclosed"
"insert","similar_merge","input_data","通信品質予測に基づく自律 Wi-Fi チャネル制御手法","null","梶田 宗吾,天野 辰哉,山口 弘純,東野 輝夫,高井 峰生","null","null","null","null","null","null","2017/06","マルチメディア,分散,協調とモバイル(DICOMO 2017)シンポジウム","null","null","null","null","null","jpn","TRUE","null","summary_national_conference","null","null","null","null","null","null","null","FALSE","disclosed"
"insert","similar_merge","input_data","クラウドソーシングと3次元地理空間情報に基づくWi-Fiデータベースの構築と活用","null","天野 辰哉,梶田 宗吾,山口 弘純,東野 輝夫,高井 峰生","null","[lead]","null","null","null","null","2017/06","マルチメディア,分散,協調とモバイル(DICOMO 2017)シンポジウム","null","null","null","null","null","jpn","TRUE","null","summary_national_conference","null","null","null","null","null","null","null","FALSE","disclosed"
"insert","similar_merge","input_data","Wi-Fi過密環境における自律チャネル制御へ向けた通信品質予測手法","null","梶田 宗吾,天野 辰哉,山口 弘純,東野 輝夫,高井 峰生","null","null","null","null","null","null","2017/03","情報処理学会 第79回全国大会","null","null","null","null","null","jpn","FALSE","null","summary_national_conference","null","null","null","null","null","null","null","FALSE","disclosed"
"insert","similar_merge","input_data","都市環境における3次元空間上のWi-Fiデータベースの構築","null","天野 辰哉,梶田 宗吾,山口 弘純,東野 輝夫,高井 峰生","null","[lead]","null","null","null","null","2017/03","情報処理学会 第79回全国大会","null","null","null","null","null","jpn","FALSE","null","summary_national_conference","null","null","null","null","null","null","null","FALSE","disclosed"
"insert","similar_merge","input_data","Wi-Fiチャネル選択手法のAP分布調査に基づくチャネル占有モデルによるシミュレーション評価","null","梶田 宗吾,天野 辰哉,山口 弘純,東野 輝夫,高井 峰生","null","null","null","null","null","null","2016/10","Scenargie Workshop 2016","null","null","null","null","null","jpn","FALSE","null","summary_national_conference","null","null","null","null","null","null","null","FALSE","disclosed"
"insert","similar_merge","input_data","Scenargieを用いた都市環境におけるWi-Fi電波強度推定システムの構築","null","天野 辰哉,梶田 宗吾,山口 弘純,東野 輝夫,高井 峰生","null","[lead]","null","null","null","null","2016/10","Scenargie Workshop 2016","null","null","null","null","null","jpn","FALSE","null","summary_national_conference","null","null","null","null","null","null","null","FALSE","disclosed"
"insert","similar_merge","input_data","AP分布調査に基づく Wi-Fi チャネル占有モデルによるチャネル選択手法の評価","null","梶田 宗吾,天野 辰哉,山口 弘純,東野 輝夫,高井 峰生","null","null","null","null","null","null","2016/10","第24回マルチメディア通信と分散処理(DPS)ワークショップ","null","null","null","null","null","jpn","TRUE","null","summary_national_conference","null","null","null","null","null","null","null","FALSE","disclosed"
"insert","similar_merge","input_data","3次元空間上の電波強度推定・可視化システム","null","天野 辰哉,梶田 宗吾,山口 弘純,東野 輝夫,高井 峰生","null","[lead]","null","null","null","null","2016/10","第24回マルチメディア通信と分散処理(DPS)ワークショップ","null","null","null","null","null","jpn","TRUE","null","summary_national_conference","null","null","null","null","null","null","null","FALSE","disclosed"
"insert","similar_merge","input_data","都市部におけるWi-Fi過密環境の分析と機械学習に基づくチャネル選択手法の検討","null","梶田 宗吾,天野 辰哉,山口 弘純,東野 輝夫,高井 峰生","null","null","null","null","null","null","2016/09","電子情報通信学会ソサイエティ大会","null","null","null","null","null","jpn","FALSE","null","summary_national_conference","null","null","null","null","null","null","null","FALSE","disclosed"
"insert","similar_merge","input_data","都市実環境観測データに基づくWi-Fi通信性能予測手法の評価","null","梶田 宗吾,天野 辰哉,山口 弘純,東野 輝夫,高井 峰生","null","null","null","null","null","null","2016/07/06","マルチメディア,分散,協調とモバイル(DICOMO 2016)シンポジウム","null","null","null","null","null","jpn","TRUE","null","summary_national_conference","null","null","null","null","null","null","null","FALSE","disclosed"
"insert","similar_merge","input_data","参加型ビーコンセンシングによる3次元空間上のWi-Fiデータベース構築と可視化","null","天野 辰哉,梶田 宗吾,山口 弘純,東野 輝夫,浦山 博史,高井 峰生","null","[lead]","null","null","null","null","2016/05/26","第79回モバイルコンピューティングとパーベイシブシステム(MBL)研究会","null","null","null","null","null","jpn","FALSE","null","summary_national_conference","null","null","null","null","null","null","null","FALSE","disclosed"
